Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008
"06037602302","14000US06037602302","Census Tract 6023.02","Census Tract 6023.02, Los Angeles County, California","ca","140","00","ACSSF","0005858",,,,,"06","037",,,,"602302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485,149,329,770,1462,578,108,89,4.28,9.44,22.09,41.95,16.59,3.1,2.55
"06037602402","14000US06037602402","Census Tract 6024.02","Census Tract 6024.02, Los Angeles County, California","ca","140","00","ACSSF","0005859",,,,,"06","037",,,,"602402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438,1119,917,1305,648,297,67,85,25.21,20.66,29.41,14.6,6.69,1.51,1.92
"06037602403","14000US06037602403","Census Tract 6024.03","Census Tract 6024.03, Los Angeles County, California","ca","140","00","ACSSF","0005860",,,,,"06","037",,,,"602403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3574,744,990,1015,605,169,24,27,20.82,27.7,28.4,16.93,4.73,0.67,0.76
"06037602404","14000US06037602404","Census Tract 6024.04","Census Tract 6024.04, Los Angeles County, California","ca","140","00","ACSSF","0005861",,,,,"06","037",,,,"602404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495,923,907,952,492,163,38,20,26.41,25.95,27.24,14.08,4.66,1.09,0.57
"06037602504","14000US06037602504","Census Tract 6025.04","Census Tract 6025.04, Los Angeles County, California","ca","140","00","ACSSF","0005862",,,,,"06","037",,,,"602504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048,587,712,1093,472,184,0,0,19.26,23.36,35.86,15.49,6.04,0,0
"06037602505","14000US06037602505","Census Tract 6025.05","Census Tract 6025.05, Los Angeles County, California","ca","140","00","ACSSF","0005863",,,,,"06","037",,,,"602505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2669,701,619,811,367,145,0,26,26.26,23.19,30.39,13.75,5.43,0,0.97
"06037602506","14000US06037602506","Census Tract 6025.06","Census Tract 6025.06, Los Angeles County, California","ca","140","00","ACSSF","0005864",,,,,"06","037",,,,"602506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677,525,722,999,336,80,15,0,19.61,26.97,37.32,12.55,2.99,0.56,0
"06037602507","14000US06037602507","Census Tract 6025.07","Census Tract 6025.07, Los Angeles County, California","ca","140","00","ACSSF","0005865",,,,,"06","037",,,,"602507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331,539,1027,1205,472,45,22,21,16.18,30.83,36.18,14.17,1.35,0.66,0.63
"06037602508","14000US06037602508","Census Tract 6025.08","Census Tract 6025.08, Los Angeles County, California","ca","140","00","ACSSF","0005866",,,,,"06","037",,,,"602508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018,908,1105,1472,349,170,14,0,22.6,27.5,36.64,8.69,4.23,0.35,0
"06037602509","14000US06037602509","Census Tract 6025.09","Census Tract 6025.09, Los Angeles County, California","ca","140","00","ACSSF","0005867",,,,,"06","037",,,,"602509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2927,955,632,1010,302,16,0,12,32.63,21.59,34.51,10.32,0.55,0,0.41
